family,value,run,benchmark,d4,d5,d6,d7,d8,checkpoint
gate_floor_dense,0.700,gate_floor_dense_0p7_seed321_t480k,swissview100_aerial,0.320000,0.326000,0.516000,0.662000,0.688000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p7_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.700,gate_floor_dense_0p7_seed321_t480k,swissviewmonuments_aerial,0.306667,0.400000,0.573333,0.644444,0.700000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p7_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.700,gate_floor_dense_0p7_seed321_t480k,swissviewmonuments_ground,0.322667,0.433333,0.570000,0.677778,0.700000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p7_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.700,gate_floor_dense_0p7_seed321_t480k,xbd_pre_aerial,0.267750,0.340250,0.523500,0.685750,0.716750,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p7_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.700,gate_floor_dense_0p7_seed321_t480k,xbd_disaster_aerial,0.284750,0.357250,0.532250,0.704000,0.737250,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p7_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.800,gate_floor_dense_0p8_seed321_t480k,masa_aerial,0.320000,0.320000,0.660000,0.820000,0.900000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p8_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.800,gate_floor_dense_0p8_seed321_t480k,mmgag_aerial,0.340426,0.357447,0.536170,0.791489,0.838298,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p8_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.800,gate_floor_dense_0p8_seed321_t480k,mmgag_ground,0.276596,0.374468,0.574468,0.808511,0.919149,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p8_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.800,gate_floor_dense_0p8_seed321_t480k,mmgag_text,0.336170,0.400000,0.570213,0.714894,0.817021,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p8_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.800,gate_floor_dense_0p8_seed321_t480k,swissview100_aerial,0.322000,0.372000,0.590000,0.748000,0.786000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p8_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.800,gate_floor_dense_0p8_seed321_t480k,swissviewmonuments_aerial,0.325333,0.444444,0.613333,0.705556,0.666667,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p8_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.800,gate_floor_dense_0p8_seed321_t480k,swissviewmonuments_ground,0.328000,0.475000,0.630000,0.722222,0.750000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p8_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.800,gate_floor_dense_0p8_seed321_t480k,xbd_pre_aerial,0.293750,0.386500,0.587750,0.737000,0.787500,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p8_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.800,gate_floor_dense_0p8_seed321_t480k,xbd_disaster_aerial,0.301500,0.395000,0.601750,0.766000,0.821500,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p8_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.900,gate_floor_dense_0p9_seed321_t480k,masa_aerial,0.280000,0.280000,0.520000,0.600000,0.680000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p9_seed321_t480k/geoexplorer.pt
